puesto_trabajo,nombre_empresa,pais,region_estado,salario_minimo,salario_maximo,moneda_salario,periodo_salario,tipo_contrato,categoria,plataforma_origen,tipo_fuente_datos,enlace_oferta
Practicante de soporte tecnico,SC Ingeniería y construcción,Perú,"Ate, Lima",1130.0,1130.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-soporte-tecnico-en-ate-A0E5C022B020153D61373E686DCF3405#lc=ListOffers-Score3-14
Asistente de Soporte Técnico,DOMOKOS SAC,Perú,"San Isidro, Lima",2800.0,2800.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-soporte-tecnico-en-san-isidro-E93A8D3B93D7C19861373E686DCF3405#lc=ListOffers-Score0-8
Asistente soporte tecnico,DOMOKOS SAC,Perú,"San Isidro, Lima",2800.0,2800.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-soporte-tecnico-horario-completo-en-san-isidro-FF35653D5D96AB5261373E686DCF3405#lc=ListOffers-Score0-7
Soporte Tecnico,Pos Solutions S.A.C.,Perú,"Jesus Maria, Lima",1800.0,1800.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-en-jesus-maria-62EFF1EC0AAC353461373E686DCF3405#lc=ListOffers-Score3-1
Soporte Técnico,SYSTEMBASE TELECOMUNICACIONES E.I.R.L,Perú,"Santiago De Surco, Lima",1800.0,1800.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-en-santiago-de-surco-4BB626AA72902CF561373E686DCF3405#lc=ListOffers-Score3-4
Asistente de soporte de aplicaciones,TRADI S.A.,Perú,"La Victoria, Lima",1500.0,1500.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-soporte-de-aplicaciones-en-la-victoria-D2846DCB69CA95CB61373E686DCF3405#lc=ListOffers-Score3-5
Soporte Técnico Jr. / La Victoria / Presencial,Canvia,Perú,"Lima, Lima",1130.0,1130.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-jr-la-victoria-presencial-en-lima-CA0F6292335A86E361373E686DCF3405#lc=ListOffers-Score3-0
Soporte Tecnico,Pos Solutions S.A.C.,Perú,"Jesus Maria, Lima",1800.0,1800.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-en-jesus-maria-62EFF1EC0AAC353461373E686DCF3405#lc=ListOffers-Score0-2
Soporte Técnico/La Victoria/Temporal,GREEN SOLUTIONS GROUP,Perú,"La Victoria, Lima",1500.0,1500.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnicola-victoriatemporal-en-la-victoria-4D6F69097899BC6861373E686DCF3405#lc=ListOffers-Score3-5
Soporte técnico,COMSERTRAN S.A.C.,Perú,"Ate, Lima",1500.0,1500.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-en-ate-7C344F2CA3595A1C61373E686DCF3405#lc=ListOffers-Score3-10
Analista de Soporte a Usuarios,Sigcomt SAC,Perú,"San Isidro, Lima",2000.0,2000.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-a-usuarios-informatico-help-desk-y-soporte-en-san-isidro-55B0BD5EF28AD85B61373E686DCF3405#lc=ListOffers-Score3-0
Soporte Técnico,SYSTEMBASE TELECOMUNICACIONES E.I.R.L,Perú,"Santiago De Surco, Lima",1800.0,1800.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-en-santiago-de-surco-4BB626AA72902CF561373E686DCF3405#lc=ListOffers-Score3-13
Asistente de Soporte Técnico en Sistemas para Puente Piedra,BOTICAS HOGAR Y SALUD,Perú,"Puente Piedra, Lima",1200.0,1200.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-soporte-tecnico-en-sistemas-para-puente-piedra-disponibilidad-inmediata-en-puente-piedra-A049AB0EF7D17BB861373E686DCF3405#lc=ListOffers-Score3-10
Soporte Técnico,SYSTEMBASE TELECOMUNICACIONES E.I.R.L,Perú,"Santiago De Surco, Lima",1800.0,1800.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-tecnico-en-santiago-de-surco-4BB626AA72902CF561373E686DCF3405#lc=ListOffers-Score3-3
Desarrollador de Sistemas de Soporte Informático/Minería,Adecco Perú S.A.,Perú,"Lima, Lima",5720.0,5720.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-sistemas-de-soporte-informaticomineria-experiencia-en-bi-en-lima-96350FC0A0EFB74961373E686DCF3405#lc=ListOffers-Score3-16
Asistente de Soporte Técnico,Hiraoka,Perú,"Miraflores, Lima",2000.0,2000.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-soporte-tecnico-en-miraflores-7E99CFBC82425F2061373E686DCF3405#lc=ListOffers-Score3-3
Practicante Profesional Soporte TI,YC JOBS CONSULTING,Perú,"San Isidro, Lima",1200.0,1200.0,PEN,Mensual,Presencial y remoto,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-profesional-soporte-ti-en-san-isidro-2F9DB0D02278EE7461373E686DCF3405#lc=ListOffers-Score3-8
Soporte TI Nivel 3 Remoto,,Perú,"San Isidro, Lima",3000.0,3000.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-soporte-ti-nivel-3-remoto-ingles-avanzado-obligatorio-en-san-isidro-5D53ECEE89AAC5F961373E686DCF3405#lc=ListOffers-Score3-4
Técnico de Soporte Junior,Alternativa Tecnologica SAC,Perú,"La Molina, Lima",1300.0,1300.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-soporte-junior-planilla-completa-en-la-molina-2F5DA87FE9912F6761373E686DCF3405#lc=ListOffers-Score3-3
Asistente de Soporte Técnico en Sistemas para Puente Piedra,BOTICAS HOGAR Y SALUD,Perú,"Puente Piedra, Lima",1200.0,1200.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-soporte-tecnico-en-sistemas-para-puente-piedra-disponibilidad-inmediata-en-puente-piedra-A049AB0EF7D17BB861373E686DCF3405#lc=ListOffers-Score3-7
Asistente de Soporte Técnico en Sistemas para Puente Piedra,BOTICAS HOGAR Y SALUD,Perú,"Puente Piedra, Lima",1200.0,1200.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-soporte-tecnico-en-sistemas-para-puente-piedra-disponibilidad-inmediata-en-puente-piedra-A049AB0EF7D17BB861373E686DCF3405#lc=ListOffers-Score3-5
Practicante Profesional  Soporte técnico – Service Desk,Canvia,Perú,"Lima, Lima",1200.0,1200.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-profesional-soporte-tecnico-service-desk-en-lima-FF197341BCCFB91D61373E686DCF3405#lc=ListOffers-Score3-19
Analista de Soporte a Usuarios,Sigcomt SAC,Perú,"San Isidro, Lima",2000.0,2000.0,PEN,Mensual,,Asistente Soporte Técnico,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-a-usuarios-informatico-help-desk-y-soporte-en-san-isidro-55B0BD5EF28AD85B61373E686DCF3405#lc=ListOffers-Score4-10
Auxiliar de Redes y Ciberseguridad,BSG Institute,Perú,"Arequipa, Arequipa",710.0,710.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-redes-y-ciberseguridad-medio-tiempo-en-arequipa-6FC28C589261F5F161373E686DCF3405#lc=ListOffers-Score3-11
Auxiliar Administrativo,Corporación Mendoza,Perú,"La Molina, Lima",1130.0,1130.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-la-molina-en-la-molina-4C8A9FAAE069327061373E686DCF3405#lc=ListOffers-Score3-8
Auxiliar Logístico / Lurín,ONURIS TALENT S.A.C.,Perú,"Lurin, Lima",1389.0,1389.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-logistico-lurin-en-lurin-05ECE4C029B57F4661373E686DCF3405#lc=ListOffers-Score3-12
Auxiliar de verificación de Liquidaciones – Facturación,Manpower,Perú,"San Isidro, Lima",1400.0,1400.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-verificacion-de-liquidaciones-facturacion-san-isidro-en-san-isidro-D8A8920BDCDB219861373E686DCF3405#lc=ListOffers-Score3-9
Auxiliar de Planta / Industrias alimentarias,CORPORACION BIOLIFE,Perú,"Chilca, Lima",2000.0,2000.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-planta-industrias-alimentarias-en-chilca-DC30518D3B01A93B61373E686DCF3405#lc=ListOffers-Score3-1
Auxiliar de servicio al cliente para la Gerencia Comercial por 3 meses,SILSA,Perú,"Surquillo, Lima",1300.0,1300.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-servicio-al-cliente-para-la-gerencia-comercial-por-3-meses-en-surquillo-03B907CFACAA08B861373E686DCF3405#lc=ListOffers-Score3-7
Auxiliar Administrativo de Seguros,CONSULTORIA Y ASESORIA EN TECNOLOGIA CONASTEC S.R.L.,Perú,"San Isidro, Lima",1200.0,1200.0,PEN,Mensual,Presencial y remoto,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-de-seguros-en-san-isidro-5F91B959D998B34561373E686DCF3405#lc=ListOffers-Score3-19
Auxiliar de Fabricación de Tintes,Starbrands Group,Perú,"Los Olivos, Lima",1130.0,1130.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-fabricacion-de-tintes-los-olivos-en-los-olivos-64767E9B6183C90561373E686DCF3405#lc=ListOffers-Score3-4
Auxiliar de Sistemas,CASDEL HNOS S.A.,Perú,"La Victoria, Lima",1400.0,1400.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-sistemas-la-victoria-en-la-victoria-7FE9260F8C49430E61373E686DCF3405#lc=ListOffers-Score3-0
Auxiliar administrativo/a San Isidro,PROMOCION DE SERVICIOS VARIOS S.A.C,Perú,"San Isidro, Lima",1130.0,1130.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativoa-san-isidro-san-isidro-en-san-isidro-BBE9E13DCEC53A5061373E686DCF3405#lc=ListOffers-Score3-0
Auxiliar de recursos humanos,Polinplast SAC,Perú,"Lurigancho, Lima",1200.0,1200.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-recursos-humanos-huachipa-cajamarquilla-en-lurigancho-C5D87A30386520AA61373E686DCF3405#lc=ListOffers-Score3-12
Auxiliar Logístico y de Almacén,Empower,Perú,"Lurin, Lima",1270.0,1270.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-logistico-y-de-almacen-disponibilidad-para-trabajar-en-lima-sur-en-lurin-DEA607D815E7F1E461373E686DCF3405#lc=ListOffers-Score3-10
Técnico en Electricidad / Auxiliar / Chorrillos,TRUST CONSULTING,Perú,"Chorrillos, Lima",1700.0,1700.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-electricidad-auxiliar-chorrillos-mp-store-agency-en-chorrillos-4CA23F22598B636661373E686DCF3405#lc=ListOffers-Score3-3
Auxiliar Contable ERP / Software,,Perú,"San Isidro, Lima",1700.0,1700.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-contable-erp-software-san-isidro-en-san-isidro-28790E396B36BBA961373E686DCF3405#lc=ListOffers-Score0-16
Auxiliar de mantenimiento,Gpem Sac,Perú,"Comas, Lima",1130.0,1130.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-mantenimiento-automotriz-conocimiento-excel-en-comas-06B24AFF8A961D2161373E686DCF3405#lc=ListOffers-Score3-6
Auxiliar Logístico / Lurín,ONURIS TALENT S.A.C.,Perú,"Lurin, Lima",1389.0,1389.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-logistico-lurin-en-lurin-05ECE4C029B57F4661373E686DCF3405#lc=ListOffers-Score3-4
Auxiliar de almacen,,Perú,"Cerro Colorado, Arequipa",1500.0,1500.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-almacen-cerro-colorado-y-cercado-en-cerro-colorado-377CEDB072CF3A7461373E686DCF3405#lc=ListOffers-Score3-1
Auxiliar de reparto,Molino El Triunfo S.A.,Perú,"Callao, Callao",1400.0,1400.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-reparto-en-callao-6741A2D849D49CDC61373E686DCF3405#lc=ListOffers-Score3-13
Auxiliar de Rampa (Arequipa),Talma Servicios Aeroportuarios,Perú,"Arequipa, Arequipa",1130.0,1130.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-rampa-arequipa-en-arequipa-C8356A96B3F62C8961373E686DCF3405#lc=ListOffers-Score3-3
Auxiliar de Reparto,TOBAL,Perú,"Lurigancho, Lima",1300.0,1300.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-reparto-huachipa-en-lurigancho-A737D8F48C08E4E461373E686DCF3405#lc=ListOffers-Score3-14
Auxiliar de Flota,Transportes Austral Group S.A.C.,Perú,"Chorrillos, Lima",1200.0,1200.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-flota-base-en-chorrillos-pantanos-de-villa-en-chorrillos-F5146EC9A938F4DD61373E686DCF3405#lc=ListOffers-Score3-2
Auxiliar de Tráfico (Arequipa),Talma Servicios Aeroportuarios,Perú,"Arequipa, Arequipa",1130.0,1130.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-trafico-arequipa-atencion-al-pasajero-en-arequipa-A8644D55D41835B161373E686DCF3405#lc=ListOffers-Score3-13
Auxiliar y Asistente de Presupuestos y Operaciones,Wesler S.A.C.,Perú,"San Martin De Porres, Lima",1600.0,1600.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-y-asistente-de-presupuestos-y-operaciones-zona-norte-y-centro-en-san-martin-de-porres-C6E3BC5AF685E56B61373E686DCF3405#lc=ListOffers-Score3-12
auxiliar de reparto,VISUAL AMERICA DATA EIRL,Perú,"Pueblo Libre, Lima",1400.0,1400.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-reparto-cs-experiencia-en-pueblo-libre-A92173A04AE11CE861373E686DCF3405#lc=ListOffers-Score3-19
Auxiliar Administrativo de Seguros,CONSULTORIA Y ASESORIA EN TECNOLOGIA CONASTEC S.R.L.,Perú,"San Isidro, Lima",1200.0,1200.0,PEN,Mensual,Presencial y remoto,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-de-seguros-en-san-isidro-5F91B959D998B34561373E686DCF3405#lc=ListOffers-Score0-2
Auxiliar Comercial,GUARD MAN,Perú,"La Molina, Lima",1130.0,1130.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-comercial-en-la-molina-3548E341905DEB4D61373E686DCF3405#lc=ListOffers-Score3-6
Auxiliar,MERINSAC,Perú,"Surquillo, Lima",1600.0,1600.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-administracion-en-surquillo-90B1D92EBA8065D461373E686DCF3405#lc=ListOffers-Score3-19
Auxiliar de Telecomunicaciones / La Victoria / Híbrido,GREEN SOLUTIONS GROUP,Perú,"La Victoria, Lima",1600.0,1600.0,PEN,Mensual,Presencial y remoto,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-telecomunicaciones-la-victoria-hibrido-en-la-victoria-3061EFE4828E645461373E686DCF3405#lc=ListOffers-Score3-4
Auxiliar de almacén,CICSA PERU S.A.C.,Perú,"Socabaya, Arequipa",1300.0,1300.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-almacen-en-socabaya-7B00C35BBED87F9661373E686DCF3405#lc=ListOffers-Score0-19
S/ 3000 Auxiliar de Almacén Malabrigo La Libertad,,Perú,"Chimbote, Ancash",3000.0,3000.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-s-3000-auxiliar-de-almacen-malabrigo-la-libertad-turnos-rotativos-en-chimbote-16D76386489609F561373E686DCF3405#lc=ListOffers-Score3-4
Auxiliar de Reparto,COMERCIO DE GRANOS PERU S.A.C.,Perú,"Lurin, Lima",1300.0,1300.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-reparto-para-sede-lurin-en-lurin-80B9B5009F2C6DA561373E686DCF3405#lc=ListOffers-Score3-10
Auxiliar de reparto para distribución de embutidos/ Chorrillos,CONSULTORIA Y SERVICIOS LOGISTICOS CONSEL,Perú,"Chorrillos, Lima",1130.0,1130.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-reparto-para-distribucion-de-embutidos-chorrillos-en-chorrillos-642680CA2D6A430C61373E686DCF3405#lc=ListOffers-Score3-18
Auxiliar de Investigación y Desarrollo,Unibell SAC,Perú,"Lima, Lima",1500.0,1500.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-investigacion-y-desarrollo-en-lima-33C973DF8CA9FA2061373E686DCF3405#lc=ListOffers-Score0-7
Auxiliar administrativo  La Victoria/Turno 12 horas,Perú Bus,Perú,"La Victoria, Lima",1766.0,1766.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-administrativo-la-victoriaturno-12-horas-planilla-completa-en-la-victoria-F08AFA7BD5A9AC4161373E686DCF3405#lc=ListOffers-Score3-13
Almacenista Auxiliar de Almacén,Grupo Educa_d,Perú,"Villa El Salvador, Lima",1500.0,1500.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-almacenista-auxiliar-de-almacen-campus-villa-en-villa-el-salvador-56C2ACCF34880A3E61373E686DCF3405#lc=ListOffers-Score0-5
Auxiliar de almacén en ventanilla,AQUARIUS CONSULTING S.A.C.,Perú,"Lima, Lima",1500.0,1500.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-almacen-en-ventanilla-en-lima-5ECF84293EDA3B3C61373E686DCF3405#lc=ListOffers-Score0-5
Almacenista auxiliar de Almacén/Costos,Jump Publicidad y Marketing,Perú,"Magdalena Del Mar, Lima",1130.0,1130.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-almacenista-auxiliar-de-almacencostos-para-sede-en-magdalena-en-magdalena-del-mar-0F17C1324BF9FB4861373E686DCF3405#lc=ListOffers-Score3-0
almacenista auxiliar de almacén,,Perú,"Ate, Lima",1500.0,1500.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-almacenista-auxiliar-de-almacen-turno-completo-en-ate-75A3140C9CD2AA0861373E686DCF3405#lc=ListOffers-Score3-4
Auxiliar de Sistemas,Bissú Accesorios,Perú,"Santa Anita, Lima",600.0,600.0,PEN,Mensual,Presencial y remoto,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-sistemas-medio-tiempo-en-santa-anita-A415DB843622BCEC61373E686DCF3405#lc=ListOffers-Score3-7
Auxiliar de Finanzas,Corrales Center S.A.C.,Perú,"La Victoria, Lima",1800.0,1800.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-finanzas-tiempo-completo-en-la-victoria-D1A443FC9E0EB5E361373E686DCF3405#lc=ListOffers-Score3-8
Auxiliar de Mantenimiento / Cañete 5x2,Sodexo Perú S.A.C.,Perú,"Lima, Lima",1100.0,1100.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-mantenimiento-canete-5x2-en-lima-5CB77090419BDF0961373E686DCF3405#lc=ListOffers-Score3-17
Asistente de Costos / Auxiliar Administrativo / Planta Industrial,Total Talent Human Resources,Perú,"Villa El Salvador, Lima",1800.0,1800.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-costos-auxiliar-administrativo-planta-industrial-villa-el-salvador-s1800-planilla-directa-en-villa-el-salvador-CD567B5D1B6E6B4F61373E686DCF3405#lc=ListOffers-Score3-0
Auxiliar de Bienestar Social,SERVOSA,Perú,"Mollendo, Arequipa",1300.0,1300.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-bienestar-social-arequipa-en-mollendo-39D9B9D0E02335EE61373E686DCF3405#lc=ListOffers-Score3-12
Auxiliar de verificación de liquidaciones facturación / Arequipa (80800),Manpower,Perú,"Arequipa, Arequipa",1500.0,1500.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-verificacion-de-liquidaciones-facturacion-arequipa-80800-en-arequipa-9667FE8C516C306061373E686DCF3405#lc=ListOffers-Score3-15
Auxiliar de Reparto Villa el Salvador Crepier,LULLI & ASOCIADOS S.A.C. - ENLACE Talento - Trabajo - Desarrollo,Perú,"Villa El Salvador, Lima",1200.0,1200.0,PEN,Mensual,,Auxiliar Técnico Laboratorio,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-reparto-villa-el-salvador-crepier-en-villa-el-salvador-582A1C423CF44C6161373E686DCF3405#lc=ListOffers-Score0-4
