cluster,titulo_puesto,nombre_empresa,ubicacion,modalidad,salario
1,Ejecutivo de Ventas – POS (Culqi) / Chiclayo,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas – POS (Culqi) / Piura,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas,MAYA,,,
1,: Ejecutivo de Ventas de Telemarketing y Redes,DENTOSHOP S.A.C.,,,
1,Ejecutivo de Ventas Huancayo,Los Portales,,,
1,Ejecutivo de Central de Emergencia,,,,
1,Ejecutivo de Ventas,MAYA,,,
1,Ejecutivo de ventas / Viajero / Provincias Norte,,,,
1,Ejecutivo de Ventas  / Ica,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Telemarketing Captación,ICPNA,,,
1,Ejecutivo de ventas,TORRES MERINO HENRY EDSONPAOLO,,,
1,Ejecutivo de Ventas rubro Joyería,IDEAS APLICADAS SA,,,
1,Ejecutivo Plataformista con experiencia en Banco para la sede de Trujillo,Adecco Perú S.A.,,,
1,Ejecutivo de Ventas Banco BBVA Pisco,Sef Peru Holding SAC,,,
1,Ejecutivo de Ventas Chincha Baja,DC Grupo Inmobiliario,,,
1,Ejecutivo de Ventas,CBC PERUANA,,,
1,Ejecutivo(a) de Ventas,J & R TECHNOLOGY SOLUTIONS S.A.C.,,,"S/. 2.500,00 (Mensual)"
1,Ejecutivo de Ventas / Lima Sur,Los Portales,,,
1,Ejecutivo de Ventas,CBC PERUANA,,,
1,Ejecutivo de Reservas,PERUVIAN SUNRISE,,,
1,Ejecutivo de Fidelización de Clientes,Verisure Peru SAC,,,
1,Ejecutivo de Ventas / Asia /Contamos con movilidad,Los Portales,,,
1,Ejecutivo de Ventas / Cañete / Asia,Los Portales,,,
1,Ejecutivo de Ventas / Chincha,Los Portales,,,
1,Ejecutivo de ventas Corporativos,INKADEVS S.A.C.,,,
1,"Ejecutivo de recuperaciones, Olmos",Mibanco - Banco de la Microempresa,,,
1,Ejecutivo de Ventas,IMPORT EXPORT TOOLS SAC,,,"S/. 1.400,00 (Mensual)"
1,Ejecutivo(a) de Ventas,ARGACORP S.A.C.,,,
1,Ejecutivo de Ventas Hipotecario,Adecco Perú S.A.,,,"S/. 1.000,00 (Mensual)"
1,Ejecutivo de Ventas  / Mariscal Caceres,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo(a) de Ventas,ZAVALETA MORON BRAYAN MILKO,,,
1,Ejecutivo de Ventas  / Canto Grande,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas,ILAE,,,
1,Ejecutivo (a) de Ventas /  Tarapoto,KOMATSU - MITSUI MAQUINARIAS,,,
1,Ejecutivo de Ventas de Internet / Entel Perú / Ruc20/ Planilla + Comisiones Ilimitadas + Incentivos.,GRUPO BLMG SAC,,,"S/. 1.200,00 (Mensual)"
1,Ejecutivo de Ventas,LASER PRODUCTS EIRL,,,
1,Ejecutivo de Ventas rubro Joyería/ Bilingüe,IDEAS APLICADAS SA,,,
1,Ejecutivo de ventas,Maderera Invicta S.R.L.,,,"S/. 1.300,00 (Mensual)"
1,Ejecutivo de Ciudad,TREEP,,,
1,Ejecutivo de cuenta,TOUCH DATA S.A.C.,,Presencial y remoto,"S/. 1.500,00 (Mensual) + Comisiones"
1,Ejecutivo de Ventas  / Mariscal Caceres,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
1,ejecutivo/a,Maya Digital Technologies,,,"S/. 1.500,00 (Mensual) + Comisiones"
1,Ejecutivo(a) de Ventas,ARGACORP S.A.C.,,,
1,Ejecutivo de Ventas C/Experiencia,Hagroy Electronic,,,"S/. 1.800,00 (Mensual) + Comisiones"
1,Ejecutivo de Ventas (Piura),Los Portales,,,
1,Ejecutivo/a de Ventas Digitales Multicanal,,,Presencial y remoto,
1,Ejecutivo de Ventas / Sueldo Base + Comisiones sin limites,Financiera QAPAQ,,,
1,Ejecutivo de defensoria del usuario,SANITAS PERU,,,
1,Ejecutivo de Ventas / Sector Bebidas,Manpower,,,
1,Ejecutivo de Ventas Chincha Baja,DC Grupo Inmobiliario,,,
1,Ejecutivo(a) de Ventas Corporativas Country Club Lima Hotel,Los Portales,,,
1,Ejecutivo(a) de Ventas Freelance,CA Sistemas Empresariales SAC,,,
1,Ejecutivo de Ventas  Canal Food Service Horeca,Fosforera Peruana SA,,,
1,Ejecutivo(a) de Ventas,,,,"S/. 1.500,00 (Mensual) + Comisiones"
1,Ejecutivo de Ventas,Terres Magiques des Incas EIRL,,,
1,Ejecutivo de Ventas,APRENDELO PE AGENCIA & CURSOS,,Presencial y remoto,
1,Ejecutivo de Ventas,N&S Distribuciones,,,
1,Ejecutivo de Telemarketing Captación,ICPNA,,,
1,Ejecutivo Plataformista con experiencia en Banco para la sede de Trujillo,Adecco Perú S.A.,,,
1,Ejecutivo de Ventas / Lima Sur /Contamos con movilidad,Los Portales,,,
1,Laureate: Ejecutivo de Prospección / Trujillo,Laureate,,,
1,Ejecutivo de atención y ventas,Adecco Perú S.A.,,,
1,Ejecutivo(a) de Ventas Casco Urbano,Huemura SAC,,,
1,Ejecutivo de Ventas  / Ica,Financiera QAPAQ,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas – POS (Culqi) / Piura,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas – POS (Culqi) / Chiclayo,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
1,Ejecutivo de Ventas Junior – Canal Horeca,,,,"S/. 5.000,00 (Mensual) + Comisiones"
2,Oportunidad Laboral para trabajar en el Banco Scotiabank/Promotor Financiero,Sef Peru Holding SAC,,,
2,Asesor de Ventas  Scotiabank,,,Presencial y remoto,
2,¡H U A N C A Y O! Asesor Prestamos Scotiabank,MF Asesoria y Consultoria SAC,,Presencial y remoto,
2,Asesor comercial con el banco Scotiabank,Sef Peru Holding SAC,,,
2,¡I Q U I T O S ! Asesor de Ventas Scotiabank,,,,
2,¡Iquitos! Asesor de Ventas Scotiabank,,,,
2,¡T R U J I L L O! Asesor de ventas Scotiabank,,,,
2,Asesor Comercial Banco Scotiabank Sede Chincha,Sef Peru Holding SAC,,,
2,Oportunidad Laboral para trabajar en el Banco Scotiabank/Promotor Financiero,Sef Peru Holding SAC,,,
2,Oportunidad Laboral para trabajar en el Banco Scotiabank/Promotor Financiero,Sef Peru Holding SAC,,,
2,Supervisor Comercial para  Banco Scotiabank  c/experiencia en Convenios !!,Sef Peru Holding SAC,,,
2,Ejecutivo De Ventas Scotiabank / Huaraz,Sef Peru Holding SAC,,,
2,Asesor de Créditos  para el Banco Scotiabank,Sef Peru Holding SAC,,,
2,Asesor de Créditos  para el Banco Scotiabank,Sef Peru Holding SAC,,,
2,Ejecutivo de Ventas Scotiabank,Sef Peru Holding SAC,,,
2,Asesor de créditos convenios para el banco Scotiabank,Sef Peru Holding SAC,,,
2,¡C H I C L A Y O! Asesor Prestamos Scotiabank,MF Asesoria y Consultoria SAC,,,
2,Asesor Comercial Banco Scotiabank c/s experiencia,Sef Peru Holding SAC,,,
2,Asesor Financiero para el Banco Scotiabank,Sef Peru Holding SAC,,,
2,Ejecutivo de Ventas Banco Scotiabank Chincha,Sef Peru Holding SAC,,,
2,Promotor de Ventas para Scotiabank,,,,
2,Ejecutivo de ventas Scotiabank,Sef Peru Holding SAC,,,
2,Asesor de Créditos  para el Banco Scotiabank,Sef Peru Holding SAC,,,
2,¡T R U J I L L O! Asesor de ventas Scotiabank,MF Asesoria y Consultoria SAC,,,
2,Ejecutivo de ventas Scotiabank,Sef Peru Holding SAC,,,
2,¡C H I C L A Y O! Asesor de ventas Scotiabank,,,,
2,Asesor de Comercial para trabajar en el Banco Scotiabank,Sef Peru Holding SAC,,,
2,Asesor de Comercial para trabajar en el Banco Scotiabank,Sef Peru Holding SAC,,,
2,Asesor Comercial Banco Scotiabank c/s experiencia,Sef Peru Holding SAC,,,
2,Ejecutivo de Ventas para Scotiabank Creditos Personales/Convenios,Sef Peru Holding SAC,,,
2,Asesor comercial con el banco Scotiabank,Sef Peru Holding SAC,,,
2,Asesor de Ventas Scotiabank,Sef Peru Holding SAC,,,
2,Oportunidad Laboral para trabajar en el Banco Scotiabank/Promotor Financiero,Sef Peru Holding SAC,,,
2,¡T R U J I L L O! Asesor de ventas Scotiabank,,,,
2,Asesor de Créditos  para el Banco Scotiabank,Sef Peru Holding SAC,,,
2,Asesor de ventas para Scotiabank Prestamos Personales/Convenios,Sef Peru Holding SAC,,,
2,Supervisor de Ventas de Créditos/Convenios para el Banco Scotiabank,Sef Peru Holding SAC,,,
2,¡H U A N C A Y O! Asesor Prestamos Scotiabank,MF Asesoria y Consultoria SAC,,Presencial y remoto,
2,¡C H I C L A Y O! Asesor de ventas Scotiabank,,,,
2,Asesores de ventas para Banco Scotiabank ¡Urgente!,Sef Peru Holding SAC,,,
2,Supervisor de Ventas de Créditos/Convenios para el Banco Scotiabank,Sef Peru Holding SAC,,,
2,Asesor/a  de Créditos Scotiabank,Sef Peru Holding SAC,,,
2,Ejecutivo de Ventas para Scotiabank Prestamos Personales/Convenios,Sef Peru Holding SAC,,,
2,Asesor de Crédito por Convenio Scotiabank,Sef Peru Holding SAC,,,
2,Asesores de Financiero para Banco Scotiabank ¡Urgente!,Sef Peru Holding SAC,,,
2,Asesor de Créditos  para el Banco Scotiabank,Sef Peru Holding SAC,,,
2,Oportunidad Laboral para trabajar en el Banco Scotiabank/Promotor Financiero,Sef Peru Holding SAC,,,
2,Supervisor de ventas por Convenios Scotiabank,Sef Peru Holding SAC,,,
2,Asesor Comercial Banco Scotiabank Sede Chincha,Sef Peru Holding SAC,,,
3,Asistente Administrativo  C/Exp. CEDI / Surco,Clinica Internacional SA,,,
4,Coordinador de Operaciones de Exportación,GDL PERU SAC,,,
4,Sectorista de Exportación,DELGADO PEREZ SHEYLA YAMINET,,,"S/. 2.500,00 (Mensual)"
4,Coordinador de Operaciones de Exportación,GDL PERU SAC,,,
4,Analista de Exportación y Logística,ITVPERU,,,
4,Asistente de Exportación e Importación,FUXION,,,
4,Analista de Ingeniería Métodos y Tiempos exp. en Costura de Prendas Exportación,Hilandería de Algodón Peruano S.A.,,,
4,Logística de Exportación Negocios Internacionales,,,,
4,Asistente de Facturación y Exportación,MAGINSA INDUSTRIAL SAC,,Presencial y remoto,
4,Asistente/a de exportación,MEDLOG,,,
4,Analista de Exportación y Logística,ITVPERU,,,
5,Auxiliar de mantenimiento,QF Farmacia Magistral,,,
5,Tec. de mantenimiento,A & S SYSTEMS CONTROL S.A.C.,,,
5,Mantenimiento/ Albañileria /  Proyecto/ Lima Sur,Grupo Tawa,,,
5,Planner de Mantenimiento,PEVOEX Contratistas S.A.C.,,,
5,Auxiliar de mantenimiento,Gpem Sac,,,"S/. 1.130,00 (Mensual)"
5,Auxiliar de Mantenimiento,ECOINTEGRITY SAC,,,
5,Tecnico de mantenimiento y emergencia Pacasmayo,Bitel,,,"S/. 1.500,00 (Mensual)"
5,Asitente Logistica y Mantenimiento Rubro Transporte,TRANSPORTES N&V SAC,,Presencial y remoto,
5,Tecnico de mantenimiento y emergencia  Otuzco,Bitel,,,"S/. 1.500,00 (Mensual)"
5,Tecnico de Mantenimiento Electrico,CAMAL FRIGORIFICO YERBATEROS SAC,,,"S/. 1.200,00 (Mensual)"
5,Planner de Mantenimiento  / Mina Chungar y Contonga,Multicosailor SAC,,,
5,Supervisor de Mantenimiento,Grupo San Pablo,,,
5,Planner de Mantenimiento,MARIPOSA ANDINA,,,
5,Supervisor de mantenimiento vehicular,,,,
5,Auxiliar de mantenimiento,QF Farmacia Magistral,,,
5,Egresado en Mecánica de mantenimiento,Importadora y Exportadora Doña Isabel E.I.R.L.,,,
5,Planner de Mantenimiento,Grones Sac,,,
5,Supervisor/a de mantenimiento,Grupo Pacasmayo,,,
5,Tecnico de Mantenimiento Electrico / Lurin / Urgente,MODASA,,,
5,Planner de Mantenimiento,MARIPOSA ANDINA,,,
5,Tec. de mantenimiento,A & S SYSTEMS CONTROL S.A.C.,,,
5,Tecnico mantenimiento,,,,
5,Auxiliar de mantenimiento,Gpem Sac,,,"S/. 1.130,00 (Mensual)"
5,planner de mantenimiento,TRANSPORTES WILLIAM EIRL,,,
5,Operario de Mantenimiento/ Proyecto/ Lima Norte,Grupo Tawa,,,
5,Supervisor/a de mantenimiento,Grupo Pacasmayo,,,
5,Operario de Mantenimiento,Hoteles Radisson - Decameron,,,
5,Ingeniero Supervisor de Mantenimiento,,,,
5,Tecnico mantenimiento,,,,
5,Supervisor/a de mantenimiento,Grupo Pacasmayo,,,
5,Supervisor de Mantenimiento / Lima Metropolitana (Zona Sur),GRUPO NATIONAL S.A.,,,
5,Planner de Mantenimiento,Grones Sac,,,
5,tecnico en mantenimiento,CLINICA PERUANO SUIZA,,,
5,Planner de Mantenimiento,PEVOEX Contratistas S.A.C.,,,
5,Supervisor de Mantenimiento,TRANSPORTES SAN ALEJANDRO S.A.C.,,,"S/. 2.300,00 (Mensual)"
5,Auxiliar de Mantenimiento PUNO,,,,
5,Tecnico de Mantenimiento Hotel Palacio del Inka Cusco,INTURSA,,,
5,Supervisor de Mantenimiento / Unidad Chungar,Multicosailor SAC,,,"S/. 4.500,00 (Mensual)"
5,Supervisor de mantenimiento Turno Amanecida,Sodexo Perú S.A.C.,,,"S/. 3.200,00 (Mensual)"
5,Tecnico de Instalacion y Mantenimiento,SECURITAS SAC,,,"S/. 2.200,00 (Mensual)"
5,Analista de mantenimiento,Adecco Perú S.A.,,,
5,Supervisor de Mantenimiento (Fábrica),,,,
5,Planner de Mantenimiento,KBN CELER,,Presencial y remoto,"S/. 2.500,00 (Mensual)"
5,planner de mantenimiento,Grupo Corfamet Peru Sac,,,
5,Auxiliar de mantenimiento,,,,
5,Analista de mantenimiento,Turismo JAKSA,,,
5,Supervisor de Mantenimiento,Grupo San Pablo,,,
5,Supervisor de Mantenimiento,Empower,,,"S/. 2.500,00 (Mensual)"
5,Supervisor de Mantenimiento/ Pucallpa,,,,
5,Supervisor de Mantenimiento/ Iquitos,,,,
5,Tecnico de Mantenimiento electrico/San Martin de Porras,Adecco Perú S.A.,,,
5,Supervisor de Mantenimiento/ Tacna,,,,
5,Tecnico de mantenimiento rubro plasticos,LADY PLAST,,,
5,Técnicos y Ayudantes de Mantenimiento,SULLAIR,,,
5,Auxiliar de mantenimiento,IHI PERU S.A.C.,,,
5,Técnicos de Mantenimiento / Contratación Inmediata,Metrica Direccion Integral de Proyectos SAC,,,
5,Supervisor de mantenimiento,Sodexo Perú S.A.C.,,,
5,Auxiliar de Mantenimiento / Cajamarquilla,Overall Strategy,,,"S/. 1.450,00 (Mensual)"
5,Supervisor de Mantenimiento,Grupo San Pablo,,,
5,Buscamos Operario de Mantenimiento,Consorcio LP,,,"S/. 1.130,00 (Mensual)"
5,Analista de mantenimiento,Turismo JAKSA,,,
5,Supervisor de mantenimiento vehicular,,,,
5,Operario de Mantenimiento/ Proyecto/ Lima Sur,Grupo Tawa,,,
5,Operario de Mantenimiento de Campo de Golf  Lunes a viernes,Country Club de Villa A. C.,,,"S/. 1.130,00 (Mensual)"
5,Empleado de Mantenimiento/ Proyecto/ Lima Norte,Grupo Tawa,,,
5,Analista de mantenimiento experiencia en almacenes,Grupo Intercorp,,,
5,Tecnico de mantenimiento y emergencia  Santiago de Chuco,Bitel,,,"S/. 1.500,00 (Mensual)"
5,Supervisor de Mantenimiento Automotriz (Arequipa),Rico Pollo S.A.C.,,,
5,Tecnico de Mantenimiento,,,,
5,Tecnico de Mantenimiento de Fríos en Lima,Jaime Pesaque Restaurant,,,
5,Tecnico de mantenimiento,AVA SPOT,,,
5,Analista de Operación y Mantenimiento,Bigmond Group,,,
5,Planner de Mantenimiento,PEVOEX Contratistas S.A.C.,,,
5,Tecnico de Instalacion y Mantenimiento,SECURITAS SAC,,,"S/. 2.200,00 (Mensual)"
5,Analista de Mantenimiento Chorrillos,Limtek Servicios Integrales,,,"S/. 1.800,00 (Mensual)"
5,Tecnico de Mantenimiento Electrico / Lurin / Urgente,MODASA,,,
5,Supervisor de mantenimiento/Hotelería,,,,
5,Planner de Mantenimiento,KBN CELER,,Presencial y remoto,"S/. 2.500,00 (Mensual)"
5,tecnico de mantenimiento electrico,PROYECTOSJJ,,,"S/. 900,00 (Mensual)"
5,Supervisor/a de mantenimiento,Grupo Pacasmayo,,,
5,"Tecnico de instalacion,mantenimiento de camaras",2 SISCOM S.A.C.,,,"S/. 1.900,00 (Mensual)"
5,Supervisor de Mantenimiento,TRANSPORTES SAN ALEJANDRO S.A.C.,,,"S/. 2.300,00 (Mensual)"
5,Tecnico de mantenimiento  lubricacion,RYSBEN,,,"S/. 2.500,00 (Mensual)"
5,Supervisor de  Mantenimiento,Industrias Nettalco S.A.,,,
6,Atencion al cliente de Sorteos Claro / con o sin experiencia / Turno tarde,Adecco Perú S.A.,,,
6,CC Real Plaza Centro Civico Salaverry /Agente de atencion al cliente Liveops / Samsung,Grupo Tawa,,,
6,Asesor/a  Atencion al cliente,R&V,,,"S/. 1.130,00 (Mensual)"
6,Atencion al cliente de Sorteos Claro / con o sin experiencia / turno tarde,Adecco Perú S.A.,,,
6,Atencion al cliente de Sorteos Claro / con o sin experiencia / Turno tarde,Adecco Perú S.A.,,,
6,Atencion al Cliente Bbva Con o Sin Experiencia Contrato a Dia 13,Konecta,,,"S/. 1.130,00 (Mensual)"
6,Atencion al Cliente,Tienda Artemas,,,"S/. 1.200,00 (Mensual)"
6,Atencion al cliente popica,KICKPRO S.A.C.,,,"S/. 565,00 (Mensual)"
6,Urgente !! Atencion al Cliente WIN Internet / Presencial en Sede Sta Anita,Atento Perú,,,
6,Atencion al Cliente WIN Internet Turno mañana Rango 7am a 6pm / Presencial Santa Anita,Atento Perú,,,
6,Cajero / Atencion al cliente  Puno sin experiencia,Apuesta Total,,,"S/. 1.130,00 (Mensual)"
6,Vendedora  Atencion al cliente,ACACIA MELAMINA,,,"S/. 1.500,00 (Mensual) + Comisiones"
6,Real Plaza Salaverry / Centro Civico / Agente de atencion al cliente y operador logistico / Samsung,Grupo Tawa,,,
6,Cajero / Atencion al cliente  Arequipa sin experiencia,Apuesta Total,,,"S/. 1.130,00 (Mensual)"
6,Atencion al Cliente 1400,GRUPO JBA,,,"S/. 1.400,00 (Mensual)"
6,Atencion al cliente/ Caja / Cajero   La Victoria / Chiclayo c/s Experiencia,Apuesta Total,,,"S/. 1.130,00 (Mensual)"
6,Atencion al cliente/ Caja / Cajero   Arequipa c/s Experiencia,Apuesta Total,,,"S/. 1.130,00 (Mensual)"
6,Atencion al cliente y cocina,URI RAMEN,,,"S/. 1.200,00 (Mensual)"
6,Atencion al Cliente WIN Internet Turno mañana Rango 7am a 6pm / Presencial Santa Anita,Atento Perú,,,
6,Atencion a cliente y cocina,URI RAMEN,,,
6,Ejecutivo de Atencion al Cliente,UROZEN,,,
6,Caja// Atencion al Cliente // Ventas Arequipa  Sin experiencia,Apuesta Total,,,"S/. 1.130,00 (Mensual)"
6,Atencion al cliente de Sorteos Claro / con o sin experiencia / Turno tarde,Adecco Perú S.A.,,,
6,Atencion al cliente  Part Time Multifuncional Real Plaza Piura,OTTO GRILL,,,
6,Atencion al Cliente Recepcion,Súmate al Éxito,,,"S/. 1.100,00 (Mensual)"
6,Atencion al cliente / Ventas,LIMA BEAUTY DISTRIBUTORS SOCIEDAD ANONIMA CERRADA,,,"S/. 1.336,00 (Mensual)"
6,Atencion al cliente de Sorteos Claro / con o sin experiencia / Turno tarde,Adecco Perú S.A.,,,
6,Atencion al Cliente,Dolce Delizia EIRL,,,"S/. 1.130,00 (Mensual)"
6,Atencion al cliente de Sorteos Claro / con o sin experiencia / turno tarde,Adecco Perú S.A.,,,
6,Atencion al Cliente WIN Internet Turno mañana Rango 7am a 6pm / Presencial Santa Anita,Atento Perú,,,
6,Atencion al cliente de Sorteos Claro / con o sin experiencia / Turno tarde,Adecco Perú S.A.,,,
6,Atencion al Cliente WIN Internet Turno mañana Rango 7am a 6pm / Presencial Santa Anita,Atento Perú,,,
6,Atencion al cliente de Sorteos Claro / con o sin experiencia / Turno tarde,Adecco Perú S.A.,,,
6,Atencion al Cliente /  Remoto / Excel,S.G NATCLAR SAC,,,"S/. 1.130,00 (Mensual)"
6,Atencion al cliente/ Caja / Cajero   Callao/San Miguel c/s Experiencia,Apuesta Total,,,"S/. 1.130,00 (Mensual)"
6,Atencion al Cliente WIN Internet Turno mañana Rango 7am a 6pm / Presencial Santa Anita,Atento Perú,,,
6,Atencion al cliente/ Caja / Cajero   Pueblo Nuevo  c/s Experiencia,Apuesta Total,,,"S/. 1.130,00 (Mensual)"
6,Atencion al Cliente 1400,GRUPO JBA,,,"S/. 1.400,00 (Mensual)"
6,Atencion al Cliente Bbva Con o Sin Experiencia Contrato a Dia 13,Konecta,,,"S/. 1.130,00 (Mensual)"
6,Caja // Atencion al cliente Puno Sin experiencia,Apuesta Total,,,"S/. 1.130,00 (Mensual)"
6,Urgente !! Atencion al Cliente WIN Internet / Presencial en Sede Sta Anita,Atento Perú,,,
6,Atencion al Cliente Bbva Con o Sin Experiencia Contrato a Dia 13,Konecta,,,"S/. 1.130,00 (Mensual)"
6,Atencion al Cliente // Caja// Ventas Chiclayo // La Victoria,Apuesta Total,,,"S/. 1.130,00 (Mensual)"
6,Atencion al cliente de Sorteos Claro / con o sin experiencia / Básico 1130 + bono de permanencia,Adecco Perú S.A.,,,
7,Técnico Mecánico Eléctrico / Rubro Industrial,leite,,,"S/. 1.800,00 (Mensual)"
7,Técnico Mecánico Eléctrico / Rubro Industrial,leite,,,"S/. 1.800,00 (Mensual)"
7,ingeniero eléctrico,GONORD GROUP S.A.C.,,Presencial y remoto,
