puesto_trabajo,pais,salario,enlace_oferta,nombre_empresa,plataforma_origen,tipo_fuente_datos,moneda_salario,periodo_salario
Practicante de Gestión de Procesos y Mejora Continua,Perú,3200.0,https://es.jooble.org/jdp/-5775528133654123411,Mibanco - PE,Jooble,API,PEN,Mensual
Analista Senior de Tecnología e Información de Riesgos,Perú,3300.0,https://es.jooble.org/jdp/8721812186019853369,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,3400.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
Especialista de Inteligencia y Analítica Avanzada (Analytics Translator),Perú,3500.0,https://es.jooble.org/jdp/-4910663903617676500,Mibanco - PE,Jooble,API,PEN,Mensual
ICT Analyst,Perú,3600.0,https://es.jooble.org/jdp/2368014616337158037,Lima Airport Partners,Jooble,API,PEN,Mensual
Analista senior de infraestructura / Analista pleno de infraestructura,Perú,3700.0,https://es.jooble.org/jdp/-2361940440515862220,Lima Airport Partners,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,3800.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Diseñador(a) Animador(a),Perú,3900.0,https://es.jooble.org/jdp/7054409564497112970,Circus Grey,Jooble,API,PEN,Mensual
Práctica Employee Experience - PE,Perú,4000.0,https://es.jooble.org/jdp/7103709171593404710,Sky Airline,Jooble,API,PEN,Mensual
Analista de Productos Activos,Perú,4100.0,https://es.jooble.org/jdp/1045111300571810177,Mibanco - PE,Jooble,API,PEN,Mensual
Gerente de Modelos de Riesgo,Perú,4200.0,https://es.jooble.org/jdp/-2206776596167358849,Mibanco - PE,Jooble,API,PEN,Mensual
ANALISTA SENIOR DE PLANEAMIENTO DE SOLUCIONES FINANCIERAS,Perú,4300.0,https://es.jooble.org/jdp/-4197073001953130791,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,4400.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
Gerente/a de Seguridad Ofensiva,Perú,4500.0,https://es.jooble.org/jdp/-6157113917337948671,Mibanco - PE,Jooble,API,PEN,Mensual
Practicante Profesional de Landside (Ing. Mecánica o Ing. Civil),Perú,4600.0,https://es.jooble.org/jdp/-8661109304450611775,Lima Airport Partners,Jooble,API,PEN,Mensual
Practicante Profesional de Planeamiento de Operaciones,Perú,4700.0,https://es.jooble.org/jdp/3876879871221910902,Lima Airport Partners,Jooble,API,PEN,Mensual
Asistente Legal (Temporal ),Perú,4800.0,https://es.jooble.org/jdp/-7829304606571094302,Jockey Plaza Perú,Jooble,API,PEN,Mensual
Asistente de Bienestar,Perú,4900.0,https://es.jooble.org/jdp/4143784968447834837,Sky Airline,Jooble,API,PEN,Mensual
Practicante de Gestión de Procesos y Mejora Continua,Perú,5000.0,https://es.jooble.org/jdp/-5775528133654123411,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Mantenimiento,Perú,5100.0,https://es.jooble.org/jdp/3534900387100740413,Lima Airport Partners,Jooble,API,PEN,Mensual
Analista Senior de Riesgos,Perú,5200.0,https://es.jooble.org/jdp/-6084323909312573821,Mibanco - PE,Jooble,API,PEN,Mensual
Inspector SSO de Gestión de Terceros,Perú,5300.0,https://es.jooble.org/jdp/7260276718380826679,Lima Airport Partners,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,5400.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Nuevos Modelos Digitales - Gestión Financiera.,Perú,5500.0,https://es.jooble.org/jdp/3664264202456379222,Mibanco - PE,Jooble,API,PEN,Mensual
Practicante de Administración de Personal,Perú,5600.0,https://es.jooble.org/jdp/-4017616618412033949,Mibanco - PE,Jooble,API,PEN,Mensual
Práctica People Analytics - PE,Perú,5700.0,https://es.jooble.org/jdp/4023815672393001604,Sky Airline,Jooble,API,PEN,Mensual
Especialista de Inteligencia y Analítica Avanzada (Analytics Translator),Perú,5800.0,https://es.jooble.org/jdp/-4910663903617676500,Mibanco - PE,Jooble,API,PEN,Mensual
Consultor(a) Seguros | Perú,Perú,5900.0,https://es.jooble.org/jdp/7888239075259246400,Queplan,Jooble,API,PEN,Mensual
Practicante de Salud Ocupacional,Perú,6000.0,https://es.jooble.org/jdp/-5606551022059653779,Mibanco - PE,Jooble,API,PEN,Mensual
Subgerente de Contabilidad de Impuestos,Perú,6100.0,https://es.jooble.org/jdp/4852554514458785688,Mibanco - PE,Jooble,API,PEN,Mensual
Practicante de Planeamiento de Agencias y Capacity,Perú,6200.0,https://es.jooble.org/jdp/-619045136324534686,Mibanco - PE,Jooble,API,PEN,Mensual
Supervisor General de Seguridad Patrimonial,Perú,6300.0,https://es.jooble.org/jdp/-3630387068981460809,Lima Airport Partners,Jooble,API,PEN,Mensual
Analista de Planeamiento de Agencias,Perú,6400.0,https://es.jooble.org/jdp/209910226318036243,Mibanco - PE,Jooble,API,PEN,Mensual
Analista senior de infraestructura / Analista pleno de infraestructura,Perú,6500.0,https://es.jooble.org/jdp/-2361940440515862220,Lima Airport Partners,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,6600.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,6700.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,6800.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Gerente/a de Seguridad Ofensiva,Perú,6900.0,https://es.jooble.org/jdp/-6157113917337948671,Mibanco - PE,Jooble,API,PEN,Mensual
Analista senior de infraestructura / Analista pleno de infraestructura,Perú,7000.0,https://es.jooble.org/jdp/-2361940440515862220,Lima Airport Partners,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,7100.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,7200.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,7300.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Pasante de Asuntos Regulatorios y Calidad,México,7400.0,https://es.jooble.org/jdp/8701645541430042474,Sun Pharma México,Jooble,API,MXN,Mensual
Auxiliar de Mantenimiento Cali,Colombia,7500.0,https://es.jooble.org/jdp/-5428755752520399187,Cencosud Colombia,Jooble,API,COP,Mensual
Gestor(a) de proyectos,Colombia,7600.0,https://es.jooble.org/jdp/2834685101661462101,OlarteMoure,Jooble,API,COP,Mensual
Ejecutivo Comercial Ventas Institucionales,Colombia,7700.0,https://es.jooble.org/jdp/5513826497487791321,Cencosud Colombia,Jooble,API,COP,Mensual
CAJERO (A) EASY ALTOS DEL PRADO,Colombia,7800.0,https://es.jooble.org/jdp/7934219018312765625,Cencosud Colombia,Jooble,API,COP,Mensual
Jefe de Sección Polivalencia Barrancabermeja,Colombia,7900.0,https://es.jooble.org/jdp/-534502045586440424,Cencosud Colombia,Jooble,API,COP,Mensual
Docente de Diseño MYP/DP,Colombia,8000.0,https://es.jooble.org/jdp/-2739725645204370131,The English School,Jooble,API,COP,Mensual
Asistente Ejecutivo(a),Colombia,8100.0,https://es.jooble.org/jdp/3822809723352793737,OlarteMoure,Jooble,API,COP,Mensual
Facturador/a,Colombia,8200.0,https://es.jooble.org/jdp/-6458114026629692155,Novacolor - CO,Jooble,API,COP,Mensual
Supervisor Personas & Organización - Easy Barranquilla,Colombia,8300.0,https://es.jooble.org/jdp/-6526245458186098206,Cencosud Colombia,Jooble,API,COP,Mensual
Analista Comercial-Temporal 1 año,Colombia,8400.0,https://es.jooble.org/jdp/7975596932994852483,Cencosud Colombia,Jooble,API,COP,Mensual
Jefe de Sección Polivalencia Barrancabermeja,Colombia,8500.0,https://es.jooble.org/jdp/-534502045586440424,Cencosud Colombia,Jooble,API,COP,Mensual
Gestor(a) de proyectos,Colombia,8600.0,https://es.jooble.org/jdp/2834685101661462101,OlarteMoure,Jooble,API,COP,Mensual
Gestor(a) de proyectos,Colombia,8700.0,https://es.jooble.org/jdp/2834685101661462101,OlarteMoure,Jooble,API,COP,Mensual
Líder Técnico de Sistemas,Perú,1000.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Analista Senior de Tecnología e Información de Riesgos,Perú,1100.0,https://es.jooble.org/jdp/8721812186019853369,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,1200.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
ICT Analyst,Perú,1300.0,https://es.jooble.org/jdp/2368014616337158037,Lima Airport Partners,Jooble,API,PEN,Mensual
Practicante Profesional de Bienestar y Beneficios,Perú,1400.0,https://es.jooble.org/jdp/-8311455118364577765,Lima Airport Partners,Jooble,API,PEN,Mensual
Practicante Profesional de Planeamiento de Operaciones,Perú,1500.0,https://es.jooble.org/jdp/3876879871221910902,Lima Airport Partners,Jooble,API,PEN,Mensual
Especialista de Inteligencia y Analítica Avanzada (Analytics Translator),Perú,1600.0,https://es.jooble.org/jdp/-4910663903617676500,Mibanco - PE,Jooble,API,PEN,Mensual
Especialista de Seguridad Tecnológica,Perú,1700.0,https://es.jooble.org/jdp/773479072834891234,Mibanco - PE,Jooble,API,PEN,Mensual
Gerente/a de Seguridad Ofensiva,Perú,1800.0,https://es.jooble.org/jdp/-6157113917337948671,Mibanco - PE,Jooble,API,PEN,Mensual
ICT Analyst,Perú,1900.0,https://es.jooble.org/jdp/2368014616337158037,Lima Airport Partners,Jooble,API,PEN,Mensual
Práctica People Analytics - PE,Perú,2000.0,https://es.jooble.org/jdp/4023815672393001604,Sky Airline,Jooble,API,PEN,Mensual
Practicante de Gestión de Procesos y Mejora Continua,Perú,2100.0,https://es.jooble.org/jdp/-5775528133654123411,Mibanco - PE,Jooble,API,PEN,Mensual
Analista Senior de Asesoría Legal,Perú,2200.0,https://es.jooble.org/jdp/-3501703114656034932,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,2300.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
Especialista de Soluciones de Políticas de Riesgos,Perú,2400.0,https://es.jooble.org/jdp/-8747831334667195762,Mibanco - PE,Jooble,API,PEN,Mensual
Inspector SSO de Gestión de Terceros,Perú,2500.0,https://es.jooble.org/jdp/7260276718380826679,Lima Airport Partners,Jooble,API,PEN,Mensual
Supervisor General de Seguridad Patrimonial,Perú,2600.0,https://es.jooble.org/jdp/-3630387068981460809,Lima Airport Partners,Jooble,API,PEN,Mensual
Analista Senior de Riesgos,Perú,2700.0,https://es.jooble.org/jdp/-6084323909312573821,Mibanco - PE,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,2800.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Analista senior de infraestructura / Analista pleno de infraestructura,Perú,2900.0,https://es.jooble.org/jdp/-2361940440515862220,Lima Airport Partners,Jooble,API,PEN,Mensual
Gerente de Modelos de Riesgo,Perú,3000.0,https://es.jooble.org/jdp/-2206776596167358849,Mibanco - PE,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,3100.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Practicante de Gestión de Procesos y Mejora Continua,Perú,3200.0,https://es.jooble.org/jdp/-5775528133654123411,Mibanco - PE,Jooble,API,PEN,Mensual
Analista Senior de Tecnología e Información de Riesgos,Perú,3300.0,https://es.jooble.org/jdp/8721812186019853369,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,3400.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
Especialista de Inteligencia y Analítica Avanzada (Analytics Translator),Perú,3500.0,https://es.jooble.org/jdp/-4910663903617676500,Mibanco - PE,Jooble,API,PEN,Mensual
ICT Analyst,Perú,3600.0,https://es.jooble.org/jdp/2368014616337158037,Lima Airport Partners,Jooble,API,PEN,Mensual
Analista senior de infraestructura / Analista pleno de infraestructura,Perú,3700.0,https://es.jooble.org/jdp/-2361940440515862220,Lima Airport Partners,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,3800.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Diseñador(a) Animador(a),Perú,3900.0,https://es.jooble.org/jdp/7054409564497112970,Circus Grey,Jooble,API,PEN,Mensual
Práctica Employee Experience - PE,Perú,4000.0,https://es.jooble.org/jdp/7103709171593404710,Sky Airline,Jooble,API,PEN,Mensual
Analista de Productos Activos,Perú,4100.0,https://es.jooble.org/jdp/1045111300571810177,Mibanco - PE,Jooble,API,PEN,Mensual
Gerente de Modelos de Riesgo,Perú,4200.0,https://es.jooble.org/jdp/-2206776596167358849,Mibanco - PE,Jooble,API,PEN,Mensual
ANALISTA SENIOR DE PLANEAMIENTO DE SOLUCIONES FINANCIERAS,Perú,4300.0,https://es.jooble.org/jdp/-4197073001953130791,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,4400.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
Gerente/a de Seguridad Ofensiva,Perú,4500.0,https://es.jooble.org/jdp/-6157113917337948671,Mibanco - PE,Jooble,API,PEN,Mensual
Practicante Profesional de Landside (Ing. Mecánica o Ing. Civil),Perú,4600.0,https://es.jooble.org/jdp/-8661109304450611775,Lima Airport Partners,Jooble,API,PEN,Mensual
Practicante Profesional de Planeamiento de Operaciones,Perú,4700.0,https://es.jooble.org/jdp/3876879871221910902,Lima Airport Partners,Jooble,API,PEN,Mensual
Asistente Legal (Temporal ),Perú,4800.0,https://es.jooble.org/jdp/-7829304606571094302,Jockey Plaza Perú,Jooble,API,PEN,Mensual
Asistente de Bienestar,Perú,4900.0,https://es.jooble.org/jdp/4143784968447834837,Sky Airline,Jooble,API,PEN,Mensual
Practicante de Gestión de Procesos y Mejora Continua,Perú,5000.0,https://es.jooble.org/jdp/-5775528133654123411,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Mantenimiento,Perú,5100.0,https://es.jooble.org/jdp/3534900387100740413,Lima Airport Partners,Jooble,API,PEN,Mensual
Analista Senior de Riesgos,Perú,5200.0,https://es.jooble.org/jdp/-6084323909312573821,Mibanco - PE,Jooble,API,PEN,Mensual
Inspector SSO de Gestión de Terceros,Perú,5300.0,https://es.jooble.org/jdp/7260276718380826679,Lima Airport Partners,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,5400.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Nuevos Modelos Digitales - Gestión Financiera.,Perú,5500.0,https://es.jooble.org/jdp/3664264202456379222,Mibanco - PE,Jooble,API,PEN,Mensual
Practicante de Administración de Personal,Perú,5600.0,https://es.jooble.org/jdp/-4017616618412033949,Mibanco - PE,Jooble,API,PEN,Mensual
Práctica People Analytics - PE,Perú,5700.0,https://es.jooble.org/jdp/4023815672393001604,Sky Airline,Jooble,API,PEN,Mensual
Especialista de Inteligencia y Analítica Avanzada (Analytics Translator),Perú,5800.0,https://es.jooble.org/jdp/-4910663903617676500,Mibanco - PE,Jooble,API,PEN,Mensual
Consultor(a) Seguros | Perú,Perú,5900.0,https://es.jooble.org/jdp/7888239075259246400,Queplan,Jooble,API,PEN,Mensual
Practicante de Salud Ocupacional,Perú,6000.0,https://es.jooble.org/jdp/-5606551022059653779,Mibanco - PE,Jooble,API,PEN,Mensual
Subgerente de Contabilidad de Impuestos,Perú,6100.0,https://es.jooble.org/jdp/4852554514458785688,Mibanco - PE,Jooble,API,PEN,Mensual
Practicante de Planeamiento de Agencias y Capacity,Perú,6200.0,https://es.jooble.org/jdp/-619045136324534686,Mibanco - PE,Jooble,API,PEN,Mensual
Supervisor General de Seguridad Patrimonial,Perú,6300.0,https://es.jooble.org/jdp/-3630387068981460809,Lima Airport Partners,Jooble,API,PEN,Mensual
Analista de Planeamiento de Agencias,Perú,6400.0,https://es.jooble.org/jdp/209910226318036243,Mibanco - PE,Jooble,API,PEN,Mensual
Analista senior de infraestructura / Analista pleno de infraestructura,Perú,6500.0,https://es.jooble.org/jdp/-2361940440515862220,Lima Airport Partners,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,6600.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
Analista de Datos - Plataformas Tecnológicas de Negocio,Perú,6700.0,https://es.jooble.org/jdp/-3011855564647543128,Mibanco - PE,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,6800.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Gerente/a de Seguridad Ofensiva,Perú,6900.0,https://es.jooble.org/jdp/-6157113917337948671,Mibanco - PE,Jooble,API,PEN,Mensual
Analista senior de infraestructura / Analista pleno de infraestructura,Perú,7000.0,https://es.jooble.org/jdp/-2361940440515862220,Lima Airport Partners,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,7100.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,7200.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Líder Técnico de Sistemas,Perú,7300.0,https://es.jooble.org/jdp/4292627113825355478,Mibanco - PE,Jooble,API,PEN,Mensual
Pasante de Asuntos Regulatorios y Calidad,México,7400.0,https://es.jooble.org/jdp/8701645541430042474,Sun Pharma México,Jooble,API,MXN,Mensual
Auxiliar de Mantenimiento Cali,Colombia,7500.0,https://es.jooble.org/jdp/-5428755752520399187,Cencosud Colombia,Jooble,API,COP,Mensual
Gestor(a) de proyectos,Colombia,7600.0,https://es.jooble.org/jdp/2834685101661462101,OlarteMoure,Jooble,API,COP,Mensual
Ejecutivo Comercial Ventas Institucionales,Colombia,7700.0,https://es.jooble.org/jdp/5513826497487791321,Cencosud Colombia,Jooble,API,COP,Mensual
CAJERO (A) EASY ALTOS DEL PRADO,Colombia,7800.0,https://es.jooble.org/jdp/7934219018312765625,Cencosud Colombia,Jooble,API,COP,Mensual
Jefe de Sección Polivalencia Barrancabermeja,Colombia,7900.0,https://es.jooble.org/jdp/-534502045586440424,Cencosud Colombia,Jooble,API,COP,Mensual
Docente de Diseño MYP/DP,Colombia,8000.0,https://es.jooble.org/jdp/-2739725645204370131,The English School,Jooble,API,COP,Mensual
Asistente Ejecutivo(a),Colombia,8100.0,https://es.jooble.org/jdp/3822809723352793737,OlarteMoure,Jooble,API,COP,Mensual
Facturador/a,Colombia,8200.0,https://es.jooble.org/jdp/-6458114026629692155,Novacolor - CO,Jooble,API,COP,Mensual
Supervisor Personas & Organización - Easy Barranquilla,Colombia,8300.0,https://es.jooble.org/jdp/-6526245458186098206,Cencosud Colombia,Jooble,API,COP,Mensual
Analista Comercial-Temporal 1 año,Colombia,8400.0,https://es.jooble.org/jdp/7975596932994852483,Cencosud Colombia,Jooble,API,COP,Mensual
Jefe de Sección Polivalencia Barrancabermeja,Colombia,8500.0,https://es.jooble.org/jdp/-534502045586440424,Cencosud Colombia,Jooble,API,COP,Mensual
Gestor(a) de proyectos,Colombia,8600.0,https://es.jooble.org/jdp/2834685101661462101,OlarteMoure,Jooble,API,COP,Mensual
Gestor(a) de proyectos,Colombia,8700.0,https://es.jooble.org/jdp/2834685101661462101,OlarteMoure,Jooble,API,COP,Mensual
